Index,orig_lang
1,English
2,English
3,English
4,Spanish
4,Castilian
5,English
6,English
7,English
8,English
9,English
10,English
11,English
12,Spanish
12,Castilian
13,English
14,English
15,English
16,English
17,English
18,English
19,Spanish
19,Castilian
20,Norwegian
21,English
22,English
23,English
24,English
25,English
26,English
27,English
28,English
29,English
30,English
31,English
32,Spanish
32,Castilian
33,English
34,Spanish
34,Castilian
35,English
36,English
37,English
38,English
39,English
40,English
41,English
42,English
43,English
44,English
45,English
46,English
47,English
48,English
49,English
50,Japanese
51,Spanish
51,Castilian
52,Spanish
52,Castilian
53,Korean
54,English
55,English
56,English
57,Norwegian
58,English
59,English
60,Russian
61,English
62,Cantonese
63,English
64,English
65,Ukrainian
66,English
67,Italian
68,English
69,English
70,English
71,English
72,English
73,English
74,English
75,English
76,English
77,English
78,English
79,Russian
80,English
81,Spanish
81,Castilian
82,Japanese
83,English
84,English
85,English
86,English
87,English
88,English
89,English
90,English
91,English
92,English
93,Spanish
93,Castilian
94,German
95,English
96,English
97,English
98,English
99,English
100,English
101,English
102,English
103,English
104,English
105,English
106,English
107,Spanish
107,Castilian
108,English
109,English
110,English
111,English
112,Japanese
113,Spanish
113,Castilian
114,English
115,English
116,English
117,English
118,English
119,Italian
120,English
121,English
122,English
123,English
124,English
125,English
126,English
127,English
128,English
129,Spanish
129,Castilian
130,English
131,Japanese
132,English
133,English
134,Japanese
135,English
136,English
137,English
138,French
139,Spanish
139,Castilian
140,English
141,English
142,English
143,English
144,English
145,English
146,English
147,English
148,English
149,English
150,French
151,English
152,Finnish
153,Spanish
153,Castilian
154,English
155,English
156,English
157,English
158,English
159,Catalan
159,Valencian
160,English
161,Japanese
162,Spanish
162,Castilian
163,Spanish
163,Castilian
164,Spanish
164,Castilian
165,English
166,Japanese
167,English
168,Spanish
168,Castilian
169,English
170,English
171,English
172,English
173,Icelandic
174,Japanese
175,English
176,Korean
177,English
178,English
179,English
180,English
181,English
182,English
183,English
184,French
185,Spanish
185,Castilian
186,English
187,English
188,English
189,English
190,Indonesian
191,English
192,Norwegian
193,Korean
194,English
195,English
196,French
197,English
198,English
199,English
200,Spanish
200,Castilian
201,English
202,Japanese
203,Spanish
203,Castilian
204,Spanish
204,Castilian
205,English
206,English
207,Japanese
208,Dutch
208,Flemish
209,English
210,English
211,Portuguese
212,English
213,English
214,Italian
215,English
216,English
217,English
218,English
219,English
220,English
221,Spanish
221,Castilian
222,English
223,English
224,English
225,English
226,Telugu
227,Korean
228,English
229,English
230,English
231,English
232,English
233,Spanish
233,Castilian
234,English
235,English
236,English
237,English
238,English
239,English
240,English
241,English
242,Polish
243,English
244,English
245,English
246,English
247,English
248,English
249,English
250,English
251,English
252,English
253,English
254,English
255,English
256,English
257,English
258,English
259,Dutch
259,Flemish
260,Spanish
260,Castilian
261,Danish
262,Japanese
263,English
264,Turkish
265,English
266,English
267,English
268,English
269,English
270,Spanish
270,Castilian
271,Chinese
272,English
273,English
274,English
275,Korean
276,English
277,English
278,Korean
279,English
280,English
281,English
282,Japanese
283,English
284,English
285,English
286,Cantonese
287,English
288,English
289,English
290,English
291,English
292,English
293,English
294,English
295,Japanese
296,English
297,English
298,Japanese
299,English
300,English
301,English
302,English
303,English
304,English
305,English
306,Japanese
307,English
308,English
309,Japanese
310,English
311,English
312,English
313,English
314,English
315,English
316,Korean
317,French
318,English
319,English
320,Thai
321,English
322,English
323,Japanese
324,Japanese
325,English
326,Japanese
327,English
328,English
329,English
330,English
331,English
332,English
333,English
334,English
335,English
336,Japanese
337,English
338,English
339,English
340,English
341,Japanese
342,Japanese
343,English
344,English
345,English
346,Polish
347,German
