index,Title,Date,Genre,orig_lang,Revenue($),Budget($),country,score
1,Creed III,02-03-2023,"Drama, Action", English,271616668,75000000,Australia,73
2,Avatar: The Way of Water,15-12-2022,"Science Fiction, Adventure, Action", English,2316794914,460000000,Australia,78
3,The Super Mario Bros. Movie,05-04-2023,"Animation, Adventure, Family, Fantasy, Comedy", English,724459031,100000000,Australia,76
4,Mummies,05-01-2023,"Animation, Comedy, Family, Adventure, Fantasy"," Spanish, Castilian",34200000,12300000,Australia,70
5,Supercell,17-03-2023,Action, English,340941958.6,77000000,United States,61
6,Cocaine Bear,23-02-2023,"Thriller, Comedy, Crime", English,80000000,35000000,Australia,66
7,John Wick: Chapter 4,23-03-2023,"Action, Thriller, Crime", English,351349364,100000000,Australia,80
8,Puss in Boots: The Last Wish,26-12-2022,"Animation, Family, Fantasy, Adventure, Comedy", English,483480577,90000000,Australia,83
9,Attack on Titan,30-09-2022,"Action, Science Fiction", English,254946484.2,71000000,United States,59
10,The Park,02-03-2023,"Action, Drama, Horror, Science Fiction, Thriller", English,488962491,119200000,United States,58
11,Winnie the Pooh: Blood and Honey,14-02-2023,"Horror, Thriller", English,3200000,100000,Australia,58
12,The Exorcist,02-11-2022,Horror," Spanish, Castilian",428214478,12000000,Mexico,55
13,Murder Mystery 2,31-03-2023,"Comedy, Mystery, Action", English,489543087.4,43800000,Australia,65
14,Black Panther: Wakanda Forever,10-11-2022,"Action, Adventure, Science Fiction", English,854041058,250000000,Australia,73
15,The Pope's Exorcist,06-04-2023,"Horror, Mystery", English,462216471.8,92000000,Australia,72
16,Prizefighter: The Life of Jem Belcher,22-07-2022,"Drama, History", English,562112551,77600000,United Kingdom,62
17,Knock at the Cabin,02-02-2023,"Thriller, Mystery, Horror, Fantasy", English,54629497,20000000,Australia,64
18,The Devil Conspiracy,13-01-2023,"Horror, Thriller", English,492646395.4,54060000,United States,65
19,Cazadora,19-01-2023,Thriller," Spanish, Castilian",318117812.6,110400000,Chile,57
20,Gold Run,15-12-2022,"War, Action, Adventure, Thriller", Norwegian,420430064.8,123500000,Norway,65
21,The Magician's Elephant,17-03-2023,"Animation, Adventure, Family, Fantasy", English,473097256.6,82600000,Australia,73
22,Plane,27-01-2023,"Action, Adventure, Thriller", English,51000000,25000000,United Kingdom,69
23,The Passion of the Christ,25-02-2004,Drama, English,622313635,25000000,Australia,74
24,Batman: The Doom That Came to Gotham,28-03-2023,"Animation, Fantasy, Horror, Action, Mystery", English,321934831.2,145760000,United States,64
25,Shazam! Fury of the Gods,16-03-2023,"Action, Comedy, Fantasy", English,132107025,125000000,Australia,69
26,Consecration,10-02-2023,"Horror, Thriller", English,492646395.4,54060000,United States,65
27,Shark Side of the Moon,12-08-2022,"Action, Science Fiction, Thriller, Horror", English,17887093.8,10000,United States,53
28,Black Adam,20-10-2022,"Action, Adventure, Science Fiction, Fantasy", English,391261706,200000000,Australia,71
29,Money Shot: The Pornhub Story,15-03-2023,Documentary, English,280052393,68500000,United States,58
30,M3GAN,12-01-2023,"Science Fiction, Horror, Comedy", English,167643991,12000000,Australia,74
31,Ant-Man and the Wasp: Quantumania,16-02-2023,"Science Fiction, Adventure, Action", English,466001332,200000000,Australia,63
32,Sayen,03-03-2023,"Thriller, Action"," Spanish, Castilian",370426090.8,73800000,Chile,62
33,Die Hart,24-02-2023,"Action, Comedy, Thriller", English,369995579.2,113000000,United States,62
34,13 Exorcisms,04-11-2022,"Drama, Horror"," Spanish, Castilian",1891519,2480000,Spain,55
35,H.P. Lovecraft's Witch House,29-06-2022,Horror, English,301123555.2,146740000,United States,60
36,John Wick: Chapter 2,18-05-2017,"Action, Thriller, Crime", English,171539887,40000000,Australia,73
37,Sick,24-09-2022,"Horror, Thriller", English,408307377.8,81800000,United States,63
38,Black Warrant,01-03-2023,"Action, Thriller", English,378399280.8,116000000,Australia,54
