id,genres
tm1300,comedy
tm1300,drama
tm1300,family
tm1300,music
tm1300,animation
tm71152,animation
tm71152,comedy
tm71152,family
tm2562,family
tm2562,animation
tm2562,comedy
tm125274,animation
tm125274,family
tm125274,romance
tm125274,comedy
tm106607,family
tm106607,animation
tm106607,comedy
ts5136,scifi
ts5136,animation
ts5136,comedy
ts5136,family
ts5136,fantasy
tm115354,animation
tm115354,comedy
tm115354,family
tm62080,comedy
tm62080,crime
tm62080,drama
tm62080,romance
tm62080,thriller
tm57265,thriller
tm57265,romance
tm57265,drama
tm57265,action
tm57265,crime
tm125504,animation
tm125504,family
tm125504,comedy
tm134144,action
tm134144,crime
tm134144,thriller
tm145132,drama
tm145132,crime
tm145132,thriller
tm145132,comedy
ts31643,documentation
ts31643,european
ts22073,documentation
ts22073,european
tm136009,animation
tm136009,comedy
tm136009,family
tm109971,comedy
tm109971,animation
tm109971,family
tm116453,family
tm116453,animation
tm116453,romance
tm116453,comedy
tm48817,comedy
tm48817,drama
tm48817,romance
ts58149,comedy
ts58149,reality
ts58149,music
ts224087,drama
ts224087,comedy
ts224087,sport
ts89568,drama
ts89568,thriller
ts89568,horror
ts89431,drama
ts89431,scifi
ts89431,war
ts287697,comedy
ts81645,drama
ts81645,thriller
ts81645,crime
ts222358,drama
ts222358,comedy
ts82316,scifi
ts82316,action
ts82316,drama
tm531724,drama
tm408218,drama
tm408218,history
tm408218,war
tm408218,action
ts235964,action
ts235964,scifi
ts235964,drama
ts235964,fantasy
ts237817,drama
ts237817,action
ts237817,crime
ts237817,thriller
ts81913,drama
ts81913,comedy
ts285617,comedy
ts285617,drama
ts285617,romance
ts317072,comedy
ts317072,drama
ts317072,romance
ts89301,drama
ts89301,thriller
ts89301,crime
ts112498,animation
ts112498,comedy
ts224872,documentation
ts128408,crime
ts128408,drama
ts128408,thriller
ts222361,scifi
ts222361,action
ts222361,family
ts222361,fantasy
tm916249,documentation
tm314230,fantasy
tm314230,thriller
tm314230,animation
tm314230,action
tm314230,drama
tm314230,family
tm850365,documentation
tm850365,music
ts251860,documentation
ts251860,reality
tm861785,drama
tm861785,comedy
tm861785,romance
tm845534,documentation
ts252837,documentation
ts221425,
ts223910,documentation
ts223910,history
ts237958,documentation
ts237958,sport
ts237884,drama
ts237884,romance
ts237884,thriller
ts251727,documentation
ts236744,family
tm446414,drama
ts255160,documentation
ts256068,animation
ts256068,family
ts109866,drama
ts109866,music
ts109866,romance
ts109866,comedy
ts216684,animation
ts216684,scifi
ts216684,comedy
ts216684,family
tm432274,documentation
tm432274,family
tm940705,documentation
tm940705,music
ts216818,documentation
ts252865,documentation
tm850546,animation
ts215388,family
ts215388,music
ts215388,comedy
tm976396,family
tm976396,music
tm976396,fantasy
ts233254,animation
ts233254,family
tm824584,documentation
tm824584,comedy
tm824584,family
tm679434,family
tm679434,history
tm679434,animation
ts235703,
ts237068,family
ts320458,drama
ts320458,scifi
ts320458,thriller
ts131317,drama
ts131317,thriller
ts131317,comedy
ts343661,drama
ts343661,crime
ts343661,thriller
ts313110,thriller
ts313110,comedy
ts313110,drama
tm994841,drama
ts297165,drama
ts297165,scifi
ts251336,drama
ts251336,action
ts251336,thriller
tm983754,drama
tm983754,comedy
tm983754,music
tm1264797,family
tm1264797,action
tm1264797,fantasy
tm1264797,animation
tm1264797,drama
tm1264797,comedy
ts106816,drama
ts221142,drama
ts221142,action
ts221142,thriller
ts200606,action
ts200606,crime
ts200606,drama
ts200606,thriller
ts238623,drama
ts346042,comedy
ts288676,comedy
ts251564,thriller
ts251564,comedy
ts251564,crime
ts224998,comedy
ts224998,fantasy
ts224998,romance
ts309881,comedy
ts253142,drama
tm1187561,drama
tm1187561,war
tm1187561,comedy
ts343868,documentation
ts343868,history
ts343868,animation
tm1164256,comedy
tm1164256,family
tm1180268,drama
tm1180268,comedy
tm1255679,music
tm1255679,documentation
ts251525,drama
ts251525,scifi
ts251525,thriller
ts251525,crime
tm413096,scifi
tm413096,drama
ts289342,scifi
ts289342,drama
ts289342,fantasy
ts314448,drama
ts314448,comedy
tm1187578,drama
tm1187578,thriller
tm1187578,action
ts272733,documentation
ts272733,sport
ts252747,drama
ts252747,history
ts252747,fantasy
ts296186,drama
ts296186,thriller
tm1137983,drama
tm1137983,comedy
ts236914,drama
ts236914,comedy
ts286752,drama
ts286752,thriller
ts286752,crime
tm466906,fantasy
tm466906,animation
tm466906,comedy
tm466906,family
ts273314,drama
ts273314,comedy
ts360077,documentation
tm1035207,drama
tm1035207,thriller
tm1035207,war
tm1035207,history
tm1035207,comedy
tm1035207,romance
tm1035207,action
ts271337,drama
ts226608,drama
ts226608,crime
ts226608,thriller
ts366512,family
ts366512,scifi
